Customer_ID,First_Name,Last_Name,Gender,Age,Date_of_Birth,City,State,Favorite_Team,Occupation,Annual_Income,Loyalty_Tier,Email,Phone,Registration_Date
C00001,Anay,Mall,Male,20,2006-04-08,Mumbai,Maharashtra,DC,Civil Engineer,591161,Silver,anay.mall31@gmail.com,9250165258,2024-01-07
C00002,Nandini,Kibe,Female,21,2005-06-09,Mumbai,Maharashtra,MI,Sales Executive,407175,Bronze,nandini.kibe368@gmail.com,7687593586,2025-01-05
C00003,Kabir,Kohli,Male,35,1991-11-08,Kolkata,West Bengal,LSG,Chartered Accountant,911815,Bronze,kabir.kohli651@hotmail.com,7136760652,2025-04-18
C00004,Darpan,Ghose,Male,52,1974-11-11,Bengaluru,Karnataka,MI,Data Analyst,830776,Bronze,darpan.ghose217@gmail.com,7248611757,2025-03-14
C00005,Hemani,Bava,Female,28,1998-03-17,Jaipur,Rajasthan,CSK,Data Analyst,614975,Bronze,hemani.bava812@outlook.com,6535425961,2025-07-03
C00006,Qushi,Baral,Female,40,1986-02-10,Ahmedabad,Gujarat,MI,Software Engineer,1152366,Platinum,qushi.baral520@outlook.com,9826617575,2024-01-01
C00007,Zashil,Rege,Male,26,2000-06-27,Kolkata,West Bengal,MI,Chartered Accountant,1889833,Gold,zashil.rege750@gmail.com,6895169156,2024-08-04
C00008,Vansha,Korpal,Female,38,1988-12-10,Ahmedabad,Gujarat,LSG,Banker,1418762,Gold,vansha.korpal124@hotmail.com,8235220629,2024-12-04
C00009,Advaith,Srinivas,Male,23,2003-08-07,Lucknow,Uttar Pradesh,CSK,Mechanical Engineer,1104201,Bronze,advaith.srinivas827@hotmail.com,6104447690,2025-02-16
C00010,Bina,Soni,Female,36,1990-04-07,Hyderabad,Telangana,KKR,Doctor,2569499,Bronze,bina.soni256@hotmail.com,9485098998,2024-06-19
C00011,Ansh,Dhar,Male,31,1995-01-06,Ahmedabad,Gujarat,CSK,Lawyer,1156171,Gold,ansh.dhar293@hotmail.com,6677641207,2024-03-03
C00012,Dalaja,Kibe,Female,22,2004-08-17,Lucknow,Uttar Pradesh,MI,Graphic Designer,384002,Gold,dalaja.kibe610@gmail.com,9621825645,2025-06-19
C00013,Yash,Dhar,Male,30,1996-04-09,Ahmedabad,Gujarat,CSK,Marketing Executive,829434,Bronze,yash.dhar10@gmail.com,6650551302,2024-10-18
C00014,Advik,Raj,Male,39,1987-10-26,Lucknow,Uttar Pradesh,CSK,Civil Engineer,813921,Gold,advik.raj962@gmail.com,8287122368,2025-06-01
C00015,Jatin,Varughese,Male,46,1980-02-21,Ahmedabad,Gujarat,PBKS,Data Analyst,503717,Bronze,jatin.varughese653@outlook.com,7147519610,2025-01-13
C00016,Champak,Mani,Male,19,2007-01-10,Delhi,Delhi,GT,Data Analyst,875190,Bronze,champak.mani683@outlook.com,9358979217,2024-06-30
C00017,Bhavya,Bhalla,Female,23,2003-06-26,Ahmedabad,Gujarat,PBKS,Chartered Accountant,1259532,Bronze,bhavya.bhalla392@gmail.com,9828437201,2024-12-02
C00018,Rehaan,Malhotra,Male,24,2002-05-12,Lucknow,Uttar Pradesh,RCB,Civil Engineer,847235,Gold,rehaan.malhotra899@gmail.com,7192147365,2025-01-29
C00019,Jagvi,Bhargava,Female,18,2008-12-14,Bengaluru,Karnataka,KKR,Civil Engineer,1220221,Silver,jagvi.bhargava373@outlook.com,6063387334,2025-02-16
C00020,Jagrati,Mital,Female,28,1998-07-22,Ahmedabad,Gujarat,RR,Teacher,896750,Bronze,jagrati.mital312@gmail.com,7276346579,2026-01-23
C00021,Darpan,Korpal,Male,22,2004-11-21,Mohali,Punjab,RCB,Chartered Accountant,2110954,Bronze,darpan.korpal151@outlook.com,9096748573,2025-02-13
C00022,Bahadurjit,Natt,Male,35,1991-02-25,Ahmedabad,Gujarat,MI,Graphic Designer,787115,Bronze,bahadurjit.natt940@outlook.com,9486959867,2025-05-31
C00023,Reyansh,Sule,Male,59,1967-03-24,Jaipur,Rajasthan,KKR,Chartered Accountant,2461320,Silver,reyansh.sule642@hotmail.com,8202235126,2025-12-24
C00024,Dhruv,Chowdhury,Male,30,1996-09-15,Ahmedabad,Gujarat,CSK,Nurse,504198,Gold,dhruv.chowdhury878@gmail.com,6492388577,2024-08-13
C00025,Ranveer,Khalsa,Male,32,1994-01-13,Delhi,Delhi,RR,Lawyer,2118718,Bronze,ranveer.khalsa942@hotmail.com,8959560481,2024-09-23
C00026,Bachittar,Misra,Male,20,2006-06-25,Ahmedabad,Gujarat,MI,Nurse,432262,Gold,bachittar.misra20@hotmail.com,9936767910,2024-06-05
C00027,Azad,Varty,Male,26,2000-10-07,Jaipur,Rajasthan,RR,Banker,851879,Silver,azad.varty797@gmail.com,8910369370,2025-12-08
C00028,Bhavini,Pillay,Female,23,2003-05-28,Mohali,Punjab,PBKS,Mechanical Engineer,1320652,Bronze,bhavini.pillay678@hotmail.com,7060444384,2024-06-05
C00029,Amol,Rau,Male,39,1987-10-26,Lucknow,Uttar Pradesh,DC,Police Officer,806732,Gold,amol.rau331@yahoo.com,8808246308,2024-07-05
C00030,Abeer,Nori,Male,29,1997-06-09,Mohali,Punjab,RR,Government Employee,982789,Bronze,abeer.nori88@outlook.com,8747664702,2025-12-09
C00031,Samesh,Bahl,Male,40,1986-08-18,Lucknow,Uttar Pradesh,RCB,Civil Engineer,846859,Bronze,samesh.bahl278@hotmail.com,7211157124,2026-01-11
C00032,Nicholas,Trivedi,Male,44,1982-05-04,Hyderabad,Telangana,RCB,Banker,876316,Bronze,nicholas.trivedi281@outlook.com,9956184854,2025-03-27
C00033,Advik,Dhar,Male,53,1973-08-04,Chennai,Tamil Nadu,RCB,Data Scientist,1910101,Silver,advik.dhar156@gmail.com,8890254567,2025-01-24
C00034,Logan,Bhargava,Male,34,1992-07-10,Mohali,Punjab,SRH,Entrepreneur,1332431,Gold,logan.bhargava641@outlook.com,8202514640,2024-10-22
C00035,Ekiya,Dora,Female,42,1984-02-22,Hyderabad,Telangana,GT,Mechanical Engineer,1193300,Gold,ekiya.dora436@outlook.com,9569801375,2024-10-22
C00036,Veer,Deep,Male,29,1997-12-13,Kolkata,West Bengal,KKR,Freelancer,1168046,Bronze,veer.deep911@gmail.com,6760268507,2024-10-02
C00037,Theodore,Nadkarni,Male,37,1989-08-17,Jaipur,Rajasthan,GT,Teacher,757058,Silver,theodore.nadkarni993@hotmail.com,9443114464,2026-02-17
C00038,Daksh,Gopal,Male,30,1996-05-11,Chennai,Tamil Nadu,LSG,Lawyer,2413848,Silver,daksh.gopal674@gmail.com,6413767259,2025-03-24
C00039,Hema,Mittal,Female,25,2001-11-20,Hyderabad,Telangana,RR,Marketing Executive,927596,Bronze,hema.mittal96@hotmail.com,8994184752,2025-05-09
C00040,Amruta,Bhat,Female,22,2004-03-13,Hyderabad,Telangana,GT,Graphic Designer,443139,Gold,amruta.bhat792@yahoo.com,6372078568,2025-04-02
C00041,Christopher,Sankar,Male,33,1993-09-13,Jaipur,Rajasthan,LSG,Business Owner,2603246,Silver,christopher.sankar877@outlook.com,6077836894,2024-02-07
C00042,Yatan,Ganesan,Male,55,1971-02-28,Jaipur,Rajasthan,CSK,Police Officer,366093,Silver,yatan.ganesan892@hotmail.com,8072630365,2024-11-20
C00043,Jacob,Goel,Male,60,1966-09-02,Mohali,Punjab,CSK,Marketing Executive,588536,Silver,jacob.goel101@hotmail.com,9469072315,2025-08-02
C00044,Darika,Natarajan,Female,19,2007-02-20,Ahmedabad,Gujarat,SRH,Chartered Accountant,1743683,Gold,darika.natarajan238@outlook.com,6646842509,2025-08-24
C00045,Krish,Jaggi,Male,53,1973-08-28,Kolkata,West Bengal,MI,Lawyer,2389574,Bronze,krish.jaggi391@outlook.com,7592962567,2024-02-20
C00046,Chasmum,Pai,Female,39,1987-04-20,Delhi,Delhi,MI,Business Owner,2702409,Silver,chasmum.pai644@outlook.com,9963457027,2024-06-28
C00047,Ronith,Goyal,Male,40,1986-09-17,Kolkata,West Bengal,PBKS,Government Employee,905254,Platinum,ronith.goyal765@yahoo.com,7840726638,2025-07-24
C00048,Azaan,Raval,Male,35,1991-05-18,Chennai,Tamil Nadu,KKR,Government Employee,1012955,Bronze,azaan.raval111@yahoo.com,8469366647,2025-10-26
C00049,Daniel,Kar,Male,18,2008-05-16,Chennai,Tamil Nadu,CSK,Civil Engineer,642254,Bronze,daniel.kar687@yahoo.com,6578686926,2024-08-10
C00050,Viraj,Wable,Male,56,1970-02-22,Delhi,Delhi,SRH,Banker,626982,Bronze,viraj.wable992@outlook.com,9980269039,2026-03-16
C00051,Orinder,Munshi,Male,24,2002-09-07,Mohali,Punjab,MI,Chartered Accountant,1389039,Silver,orinder.munshi284@gmail.com,8957181375,2024-01-17
C00052,Simon,Pai,Male,23,2003-07-17,Chennai,Tamil Nadu,DC,Freelancer,1190101,Silver,simon.pai463@gmail.com,8907854904,2025-02-15
C00053,Michael,Varkey,Male,23,2003-08-03,Chennai,Tamil Nadu,RCB,Doctor,1075491,Bronze,michael.varkey391@yahoo.com,7460786772,2025-04-07
C00054,Gaurika,Kakar,Female,32,1994-07-14,Chennai,Tamil Nadu,RCB,Sales Executive,567271,Bronze,gaurika.kakar704@outlook.com,6080078555,2024-12-03
C00055,Falak,Dutt,Female,31,1995-12-02,Kolkata,West Bengal,SRH,Banker,717266,Silver,falak.dutt159@outlook.com,6218375889,2025-09-28
C00056,Abhimanyu,Solanki,Male,35,1991-10-22,Kolkata,West Bengal,CSK,Government Employee,1136833,Silver,abhimanyu.solanki360@yahoo.com,9116079053,2025-04-09
C00057,Hitesh,Sathe,Male,30,1996-10-20,Chennai,Tamil Nadu,GT,Doctor,1460224,Silver,hitesh.sathe691@gmail.com,9264427142,2025-11-25
C00058,Wazir,Kala,Male,29,1997-01-08,Ahmedabad,Gujarat,LSG,Data Analyst,508060,Bronze,wazir.kala786@outlook.com,8721441525,2025-11-15
C00059,Yadavi,Barad,Female,24,2002-12-02,Ahmedabad,Gujarat,CSK,Data Scientist,1356535,Silver,yadavi.barad727@hotmail.com,6249194634,2024-04-18
C00060,Patrick,Pillay,Male,33,1993-02-13,Kolkata,West Bengal,DC,Chartered Accountant,1398495,Silver,patrick.pillay523@gmail.com,9517396112,2024-06-26
C00061,Dhruv,Bajaj,Male,36,1990-03-25,Jaipur,Rajasthan,KKR,Mechanical Engineer,1296788,Silver,dhruv.bajaj885@yahoo.com,7104320534,2024-02-28
C00062,Chaitanya,Bath,Male,26,2000-10-20,Lucknow,Uttar Pradesh,RCB,Mechanical Engineer,1081242,Platinum,chaitanya.bath461@gmail.com,8341018375,2024-06-25
C00063,Banjeet,Srivastava,Male,42,1984-09-17,Mohali,Punjab,MI,Banker,1093270,Bronze,banjeet.srivastava696@yahoo.com,9760062769,2024-06-02
